Index,Image_Path,Target_Path
zurich_000069_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000069_000019_leftImg8bit.png,./Data/masks/zurich_000069_000019.png
zurich_000063_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000063_000019_leftImg8bit.png,./Data/masks/zurich_000063_000019.png
zurich_000110_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000110_000019_leftImg8bit.png,./Data/masks/zurich_000110_000019.png
zurich_000016_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000016_000019_leftImg8bit.png,./Data/masks/zurich_000016_000019.png
zurich_000027_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000027_000019_leftImg8bit.png,./Data/masks/zurich_000027_000019.png
zurich_000052_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000052_000019_leftImg8bit.png,./Data/masks/zurich_000052_000019.png
zurich_000121_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000121_000019_leftImg8bit.png,./Data/masks/zurich_000121_000019.png
zurich_000093_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000093_000019_leftImg8bit.png,./Data/masks/zurich_000093_000019.png
zurich_000058_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000058_000019_leftImg8bit.png,./Data/masks/zurich_000058_000019.png
zurich_000099_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000099_000019_leftImg8bit.png,./Data/masks/zurich_000099_000019.png
zurich_000064_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000064_000019_leftImg8bit.png,./Data/masks/zurich_000064_000019.png
zurich_000117_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000117_000019_leftImg8bit.png,./Data/masks/zurich_000117_000019.png
zurich_000011_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000011_000019_leftImg8bit.png,./Data/masks/zurich_000011_000019.png
zurich_000020_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000020_000019_leftImg8bit.png,./Data/masks/zurich_000020_000019.png
zurich_000055_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000055_000019_leftImg8bit.png,./Data/masks/zurich_000055_000019.png
zurich_000094_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000094_000019_leftImg8bit.png,./Data/masks/zurich_000094_000019.png
zurich_000012_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000012_000019_leftImg8bit.png,./Data/masks/zurich_000012_000019.png
zurich_000114_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000114_000019_leftImg8bit.png,./Data/masks/zurich_000114_000019.png
zurich_000067_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000067_000019_leftImg8bit.png,./Data/masks/zurich_000067_000019.png
zurich_000018_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000018_000019_leftImg8bit.png,./Data/masks/zurich_000018_000019.png
zurich_000029_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000029_000019_leftImg8bit.png,./Data/masks/zurich_000029_000019.png
zurich_000056_000019,./Data/files/Cityscapes_leftImg8bit_trainvaltest/leftImg8bit/train/zurich/zurich_000056_000019_leftImg8bit.png,./Data/masks/zurich_000056_000019.png
